trans_id,prod_upc,cust_id,trans_timestamp,trans_year,trans_month,trans_day,trans_hour,trans_quantity,cust_age,cust_state,prod_price,prod_title,prod_category,prod_animal_type,prod_size,total_sales
10316740,575410882303,1014557,2021-05-26 12:57:07.490008,2021,5,26,26,1,19,New York,21.95,Chomp-a Plush,toy,dog,,0
10308775,719638485153,1008476,2021-04-18 12:59:58.120489,2021,4,18,18,1,37,New York,72.99,Cat Cave,bedding,cat,,0
10313982,287663658863,1012552,2021-05-14 14:23:52.375544,2021,5,14,14,1,35,New Jersey,9.95,All Veggie Yummies,treat,dog,,0
10311897,521244155990,1010940,2021-05-04 08:25:25.905636,2021,5,4,4,1,39,Mississippi,54.95,Reddy Beddy,bedding,dog,small,0
10315882,287663658863,1013961,2021-05-22 11:55:36.733048,2021,5,22,22,1,25,Florida,9.95,All Veggie Yummies,treat,dog,,0
10304083,344538897332,1004553,2021-03-15 06:54:04.394363,2021,3,15,15,1,23,Pennsylvania,19.99,Feline Fix Mix,treat,cat,,0
10302524,441530839394,1003206,2021-02-26 09:53:54.769593,2021,2,26,26,2,23,Connecticut,28.45,Ball and String,toy,cat,,0
10306020,374613020864,1006211,2021-03-31 11:24:22.552751,2021,3,31,31,1,21,New Jersey,10.97,Chewie Dental,treat,dog,,0
10311825,344538897332,1010883,2021-05-04 11:27:31.070711,2021,5,4,4,2,26,New York,19.99,Feline Fix Mix,treat,cat,,0
10311575,704772572943,1010687,2021-05-03 13:49:16.108636,2021,5,3,3,1,33,Connecticut,35.98,Scratchy Post,toy,cat,,0
10315154,904582148679,1008719,2021-05-19 08:33:16.281083,2021,5,19,19,1,27,New Jersey,12.97,Whole Chemistry Recipe,food,dog,small,0
10300947,469757173540,1001797,2021-01-31 12:26:21.677444,2021,1,31,31,1,28,New Jersey,35.99,Kitty Climber,toy,cat,,0
10308178,374613020864,1008000,2021-04-14 11:38:34.435693,2021,4,14,14,1,30,New Jersey,10.97,Chewie Dental,treat,dog,,0
10303087,483326155497,1003700,2021-03-05 11:22:29.948383,2021,3,5,5,1,25,Mississippi,10.99,The New Bone,food,dog,large,0
10302380,904582148679,1003083,2021-02-24 09:08:07.028668,2021,2,24,24,1,27,California,12.97,Whole Chemistry Recipe,food,dog,small,0
10309055,441530839394,1008703,2021-04-19 09:13:39.277892,2021,4,19,19,1,20,New York,28.45,Ball and String,toy,cat,,0
10307275,969568933713,1006795,2021-04-08 09:13:36.381527,2021,4,8,8,1,21,Oregon,32.99,Foozy Mouse,toy,cat,,0
10307632,969568933713,1007553,2021-04-11 08:00:58.661216,2021,4,11,11,1,26,Oregon,32.99,Foozy Mouse,toy,cat,,0
10305860,374613020864,1001846,2021-03-30 11:30:22.928818,2021,3,30,30,1,32,New Jersey,10.97,Chewie Dental,treat,dog,,0
10305239,344538897332,1005550,2021-03-25 11:38:18.240025,2021,3,25,25,1,30,New York,19.99,Feline Fix Mix,treat,cat,,0
10317090,344538897332,1011056,2021-05-27 07:07:19.547508,2021,5,27,27,1,37,New York,19.99,Feline Fix Mix,treat,cat,,0
10305725,832878954342,1001141,2021-03-29 09:35:16.079860,2021,3,29,29,1,26,New York,45.99,Snoozer Hammock,bedding,cat,,0
10303859,575410882303,1004357,2021-03-13 11:22:15.207272,2021,3,13,13,1,25,Ohio,21.95,Chomp-a Plush,toy,dog,,0
10309259,717036112695,1008866,2021-04-21 12:40:34.290044,2021,4,21,21,1,23,New York,60.99,Reddy Beddy,bedding,dog,medium,0
10310132,483326155497,1009556,2021-04-25 10:32:07.896181,2021,4,25,25,1,21,California,10.99,The New Bone,food,dog,large,0
10305020,344934101144,1005360,2021-03-23 12:07:58.358041,2021,3,23,23,2,31,New Jersey,24.95,Fetch Blaster,toy,dog,,0
10317070,733426809698,1014801,2021-05-27 11:20:18.350371,2021,5,27,27,1,33,New Jersey,18.95,Yum Fish-Dish,food,cat,,0
10313651,425361189561,1012300,2021-05-13 10:55:15.298367,2021,5,13,13,1,25,Oregon,15.99,Snack-em Fish,treat,cat,,0
10315834,575410882303,1013929,2021-05-22 08:55:29.780842,2021,5,22,22,1,26,Connecticut,21.95,Chomp-a Plush,toy,dog,,0
10308411,704772572943,1008192,2021-04-16 09:48:56.783836,2021,4,16,16,1,29,Wisconsin,35.98,Scratchy Post,toy,cat,,0
10307715,374613020864,1007622,2021-04-11 13:55:53.090867,2021,4,11,11,1,28,New York,10.97,Chewie Dental,treat,dog,,0
10309631,717036112695,1009162,2021-04-23 11:21:36.954679,2021,4,23,23,1,23,California,60.99,Reddy Beddy,bedding,dog,medium,0
10304494,575410882303,1004909,2021-03-19 09:03:02.410500,2021,3,19,19,1,33,South Carolina,21.95,Chomp-a Plush,toy,dog,,0
10303788,344934101144,1004297,2021-03-12 08:36:53.815341,2021,3,12,12,3,41,Pennsylvania,24.95,Fetch Blaster,toy,dog,,0
10308570,469757173540,1001962,2021-04-17 10:01:13.257350,2021,4,17,17,1,30,Nevada,35.99,Kitty Climber,toy,cat,,0
10306276,483326155497,1006422,2021-04-02 09:22:51.536101,2021,4,2,2,1,30,New York,10.99,The New Bone,food,dog,large,0
10304095,287663658863,1004564,2021-03-15 14:08:03.761965,2021,3,15,15,1,36,New York,9.95,All Veggie Yummies,treat,dog,,0
10316828,575410882303,1014625,2021-05-26 08:48:50.779629,2021,5,26,26,1,24,New York,21.95,Chomp-a Plush,toy,dog,,0
10302902,140160459467,1003537,2021-03-03 11:20:08.901187,2021,3,3,3,1,29,Illinois,48.95,Snoozer Essentails,bedding,dog,,0
10304123,344934101144,1004589,2021-03-15 08:44:03.051619,2021,3,15,15,1,27,Illinois,24.95,Fetch Blaster,toy,dog,,0
10301653,733426809698,1002434,2021-02-13 12:09:02.984677,2021,2,13,13,1,24,New York,18.95,Yum Fish-Dish,food,cat,,0
10316861,374613020864,1014647,2021-05-26 12:44:24.763383,2021,5,26,26,2,42,New Mexico,10.97,Chewie Dental,treat,dog,,0
10304525,733426809698,1004706,2021-03-19 12:28:47.054923,2021,3,19,19,1,27,Pennsylvania,18.95,Yum Fish-Dish,food,cat,,0
10309694,73201504044,1009216,2021-04-23 12:50:57.791388,2021,4,23,23,3,23,New York,18.95,Purrfect Puree,treat,cat,,0
10310086,575410882303,1008913,2021-04-25 11:57:58.423304,2021,4,25,25,2,28,California,21.95,Chomp-a Plush,toy,dog,,0
10317238,969568933713,1012976,2021-05-27 09:32:53.107139,2021,5,27,27,5,19,Texas,32.99,Foozy Mouse,toy,cat,,0
10312853,733426809698,1010353,2021-05-09 09:49:16.869901,2021,5,9,9,1,26,Pennsylvania,18.95,Yum Fish-Dish,food,cat,,0
10309163,733426809698,1008790,2021-04-20 10:50:27.346318,2021,4,20,20,3,31,New York,18.95,Yum Fish-Dish,food,cat,,0
10316976,621046126170,1014733,2021-05-26 09:14:45.053679,2021,5,26,26,1,28,New Jersey,22.99,Tug-a-Back,toy,dog,,0
10309060,733426809698,1005656,2021-04-20 10:28:10.208838,2021,4,20,20,2,38,New York,18.95,Yum Fish-Dish,food,cat,,0
10312267,575410882303,1011236,2021-05-06 13:26:17.430633,2021,5,6,6,1,43,New Jersey,21.95,Chomp-a Plush,toy,dog,,0
10314457,717036112695,1012901,2021-05-16 10:47:25.387039,2021,5,16,16,2,31,New York,60.99,Reddy Beddy,bedding,dog,medium,0
10317132,733426809698,1014840,2021-05-27 06:35:08.236946,2021,5,27,27,1,22,Nevada,18.95,Yum Fish-Dish,food,cat,,0
10310890,733426809698,1003266,2021-04-29 13:24:34.069696,2021,4,29,29,1,23,Florida,18.95,Yum Fish-Dish,food,cat,,0
10314593,904582148679,1013004,2021-05-17 09:16:01.983243,2021,5,17,17,2,38,California,12.97,Whole Chemistry Recipe,food,dog,small,0
10317447,287663658863,1015058,2021-05-28 08:49:38.145369,2021,5,28,28,2,34,Wisconsin,9.95,All Veggie Yummies,treat,dog,,0
10301265,374613020864,1002085,2021-02-06 12:20:02.363081,2021,2,6,6,2,32,Virginia,10.97,Chewie Dental,treat,dog,,0
10300343,242313721729,1001248,2021-01-15 09:24:02.069584,2021,1,15,15,1,33,New York,65.99,Reddy Beddy,bedding,dog,large,0
10314672,469757173540,1007109,2021-05-17 08:46:06.395338,2021,5,17,17,1,27,Pennsylvania,35.99,Kitty Climber,toy,cat,,0
10301413,344934101144,1002217,2021-02-10 10:37:05.114474,2021,2,10,10,1,25,South Carolina,24.95,Fetch Blaster,toy,dog,,0
10309136,344538897332,1004945,2021-04-20 11:17:38.264071,2021,4,20,20,1,45,Nebraska,19.99,Feline Fix Mix,treat,cat,,0
10303776,733426809698,1004286,2021-03-12 09:54:22.937479,2021,3,12,12,1,25,New York,18.95,Yum Fish-Dish,food,cat,,0
10312601,733426809698,1011489,2021-05-08 09:55:28.141691,2021,5,8,8,1,29,New York,18.95,Yum Fish-Dish,food,cat,,0
10305322,242313721729,1005620,2021-03-26 12:26:20.034291,2021,3,26,26,1,24,Connecticut,65.99,Reddy Beddy,bedding,dog,large,0
10306478,845773115334,1006592,2021-04-03 11:04:22.710280,2021,4,3,3,1,26,New York,12.99,Purr Mix,food,cat,,0
10308237,733426809698,1008050,2021-04-15 06:26:30.517749,2021,4,15,15,1,23,New York,18.95,Yum Fish-Dish,food,cat,,0
10308673,719638485153,1008396,2021-04-17 10:53:10.910940,2021,4,17,17,1,38,Massachusetts,72.99,Cat Cave,bedding,cat,,0
10314349,344538897332,1012826,2021-05-16 12:12:34.812401,2021,5,16,16,1,23,New York,19.99,Feline Fix Mix,treat,cat,,0
10304924,469757173540,1005275,2021-03-22 12:05:41.273019,2021,3,22,22,1,25,New Mexico,35.99,Kitty Climber,toy,cat,,0
10314836,832878954342,1002835,2021-05-18 07:52:10.101020,2021,5,18,18,2,22,Connecticut,45.99,Snoozer Hammock,bedding,cat,,0
10312540,469757173540,1011440,2021-05-07 09:34:49.312712,2021,5,7,7,1,43,Pennsylvania,35.99,Kitty Climber,toy,cat,,0
10312648,425361189561,1011527,2021-05-08 11:57:15.359686,2021,5,8,8,3,38,New York,15.99,Snack-em Fish,treat,cat,,0
10316910,904582148679,1014681,2021-05-26 10:43:54.873918,2021,5,26,26,1,25,New Jersey,12.97,Whole Chemistry Recipe,food,dog,small,0
10304697,344538897332,1005079,2021-03-20 10:26:15.980482,2021,3,20,20,4,28,New York,19.99,Feline Fix Mix,treat,cat,,0
10317141,521244155990,1014848,2021-05-27 09:46:26.376168,2021,5,27,27,2,33,New York,54.95,Reddy Beddy,bedding,dog,small,0
10303489,717036112695,1003173,2021-03-09 10:34:38.498616,2021,3,9,9,1,24,North Carolina,60.99,Reddy Beddy,bedding,dog,medium,0
10305050,287663658863,1005387,2021-03-23 12:37:55.695778,2021,3,23,23,1,28,New York,9.95,All Veggie Yummies,treat,dog,,0
10304117,73201504044,1004583,2021-03-15 10:24:15.015417,2021,3,15,15,1,41,Missouri,18.95,Purrfect Puree,treat,cat,,0
10312142,469757173540,1011135,2021-05-06 13:24:03.014079,2021,5,6,6,1,26,New Jersey,35.99,Kitty Climber,toy,cat,,0
10307533,344538897332,1004259,2021-04-10 08:31:53.609301,2021,4,10,10,1,24,Pennsylvania,19.99,Feline Fix Mix,treat,cat,,0
10313516,621046126170,1012198,2021-05-12 09:03:27.669822,2021,5,12,12,1,32,North Carolina,22.99,Tug-a-Back,toy,dog,,0
10311200,969568933713,1010388,2021-05-01 10:33:26.116607,2021,5,1,1,1,31,Pennsylvania,32.99,Foozy Mouse,toy,cat,,0
10300178,441530839394,1001096,2021-01-07 13:58:32.335934,2021,1,7,7,2,49,Texas,28.45,Ball and String,toy,cat,,0
10306985,100469015054,1007016,2021-04-07 13:08:47.591766,2021,4,7,7,1,40,New York,18.95,Tuna Tasties,treat,cat,,0
10303279,733426809698,1001809,2021-03-07 09:37:19.682811,2021,3,7,7,1,38,Pennsylvania,18.95,Yum Fish-Dish,food,cat,,0
10301683,287663658863,1002182,2021-02-14 13:33:16.916832,2021,2,14,14,1,32,Pennsylvania,9.95,All Veggie Yummies,treat,dog,,0
10300566,73201504044,1001451,2021-01-22 06:38:57.275221,2021,1,22,22,1,52,Pennsylvania,18.95,Purrfect Puree,treat,cat,,0
10316220,242313721729,1014195,2021-05-23 14:28:26.977341,2021,5,23,23,1,23,Florida,65.99,Reddy Beddy,bedding,dog,large,0
10309641,425361189561,1009171,2021-04-23 13:35:40.678264,2021,4,23,23,1,27,North Carolina,15.99,Snack-em Fish,treat,cat,,0
10303147,469757173540,1003751,2021-03-05 09:26:13.447531,2021,3,5,5,1,25,North Carolina,35.99,Kitty Climber,toy,cat,,0
10303141,733426809698,1003747,2021-03-05 09:27:35.564204,2021,3,5,5,1,20,Florida,18.95,Yum Fish-Dish,food,cat,,0
10305268,904582148679,1005574,2021-03-25 12:23:20.549134,2021,3,25,25,2,41,New York,12.97,Whole Chemistry Recipe,food,dog,small,0
10309298,904582148679,1008898,2021-04-21 10:31:08.807091,2021,4,21,21,1,44,Florida,12.97,Whole Chemistry Recipe,food,dog,small,0
10310092,242313721729,1009523,2021-04-25 12:13:43.171275,2021,4,25,25,1,35,Pennsylvania,65.99,Reddy Beddy,bedding,dog,large,0
10307985,287663658863,1007840,2021-04-13 10:44:25.634392,2021,4,13,13,1,38,New Jersey,9.95,All Veggie Yummies,treat,dog,,0
