trans_id,prod_upc,cust_id,trans_timestamp,trans_year,trans_month,trans_day,trans_hour,trans_quantity,cust_age,cust_state,prod_price,prod_title,prod_category,prod_animal_type,total_sales
10300097,719638485153,1001019,35:21.4,2021,1,1,1,1,20,New York,72.99,Cat Cave,bedding,cat,72.99
10300093,73201504044,1001015,33:37.5,2021,1,1,1,1,34,New York,18.95,Purrfect Puree,treat,cat,18.95
10300093,719638485153,1001015,33:37.5,2021,1,1,1,1,34,New York,72.99,Cat Cave,bedding,cat,72.99
10300093,441530839394,1001015,33:37.5,2021,1,1,1,2,34,New York,28.45,Ball and String,toy,cat,56.9
10300093,733426809698,1001015,33:37.5,2021,1,1,1,1,34,New York,18.95,Yum Fish-Dish,food,cat,18.95
10300091,344934101144,1001012,08:32.2,2021,1,1,1,1,26,New Jersey,24.95,Fetch Blaster,toy,dog,24.95
10300096,717036112695,1001018,43:40.4,2021,1,1,1,1,26,Pennsylvania,60.99,Reddy Beddy,bedding,dog,60.99
10300103,242313721729,1001025,05:32.2,2021,1,1,1,1,24,New Jersey,65.99,Reddy Beddy,bedding,dog,65.99
10300100,100469015054,1001022,39:46.7,2021,1,1,1,1,27,New York,18.95,Tuna Tasties,treat,cat,18.95
10300102,287663658863,1001024,44:27.5,2021,1,1,1,1,35,Connecticut,9.95,All Veggie Yummies,treat,dog,9.95
10300101,441530839394,1001023,14:47.1,2021,1,1,1,1,29,Connecticut,28.45,Ball and String,toy,cat,28.45
10300101,287663658863,1001023,14:47.1,2021,1,1,1,1,29,Connecticut,9.95,All Veggie Yummies,treat,dog,9.95
10300098,242313721729,1001020,21:14.5,2021,1,1,1,2,28,Pennsylvania,65.99,Reddy Beddy,bedding,dog,131.98
10300094,374613020864,1001016,40:29.2,2021,1,1,1,1,29,New York,10.97,Chewie Dental,treat,dog,10.97
10300099,832878954342,1001021,52:02.4,2021,1,1,1,1,19,Pennsylvania,45.99,Snoozer Hammock,bedding,cat,45.99
10300092,469757173540,1001014,10:33.5,2021,1,1,1,1,32,New Jersey,35.99,Kitty Climber,toy,cat,35.99
10300095,73201504044,1001017,32:28.9,2021,1,1,1,1,31,Connecticut,18.95,Purrfect Puree,treat,cat,18.95
10300107,374613020864,1001028,58:22.1,2021,1,2,2,1,21,Connecticut,10.97,Chewie Dental,treat,dog,10.97
10300113,100469015054,1001034,14:35.0,2021,1,2,2,1,29,Pennsylvania,18.95,Tuna Tasties,treat,cat,18.95
10300113,469757173540,1001034,14:35.0,2021,1,2,2,3,29,Pennsylvania,35.99,Kitty Climber,toy,cat,107.97
10300110,969568933713,1001031,13:26.3,2021,1,2,2,1,21,New York,32.99,Foozy Mouse,toy,cat,32.99
10300110,521244155990,1001031,13:26.3,2021,1,2,2,2,21,New York,54.95,Reddy Beddy,bedding,dog,109.9
10300104,344538897332,1001026,42:56.2,2021,1,2,2,2,35,Pennsylvania,19.99,Feline Fix Mix,treat,cat,39.98
10300111,832878954342,1001032,45:17.2,2021,1,2,2,1,27,Pennsylvania,45.99,Snoozer Hammock,bedding,cat,45.99
10300114,845773115334,1001035,39:27.2,2021,1,2,2,1,35,New York,12.99,Purr Mix,food,cat,12.99
10300114,733426809698,1001035,39:27.2,2021,1,2,2,2,35,New York,18.95,Yum Fish-Dish,food,cat,37.9
10300109,575410882303,1001030,47:55.6,2021,1,2,2,2,23,New Jersey,21.95,Chomp-a Plush,toy,dog,43.9
10300118,100469015054,1001039,48:36.8,2021,1,2,2,1,24,New York,18.95,Tuna Tasties,treat,cat,18.95
10300105,73201504044,1001022,50:35.5,2021,1,2,2,2,27,New York,18.95,Purrfect Puree,treat,cat,37.9
10300105,287663658863,1001022,50:35.5,2021,1,2,2,1,27,New York,9.95,All Veggie Yummies,treat,dog,9.95
10300106,483326155497,1001027,56:33.4,2021,1,2,2,3,29,Pennsylvania,10.99,The New Bone,food,dog,32.97
10300117,621046126170,1001038,27:04.6,2021,1,2,2,1,31,Connecticut,22.99,Tug-a-Back,toy,dog,22.99
10300117,374613020864,1001038,27:04.6,2021,1,2,2,2,31,Connecticut,10.97,Chewie Dental,treat,dog,21.94
10300112,717036112695,1001033,00:24.5,2021,1,2,2,1,37,Pennsylvania,60.99,Reddy Beddy,bedding,dog,60.99
10300115,100469015054,1001036,05:42.0,2021,1,2,2,1,27,New York,18.95,Tuna Tasties,treat,cat,18.95
10300119,73201504044,1001040,08:34.7,2021,1,2,2,1,39,New York,18.95,Purrfect Puree,treat,cat,18.95
10300108,704772572943,1001029,16:01.6,2021,1,2,2,1,35,Pennsylvania,35.98,Scratchy Post,toy,cat,35.98
10300108,469757173540,1001029,16:01.6,2021,1,2,2,1,35,Pennsylvania,35.99,Kitty Climber,toy,cat,35.99
10300116,969568933713,1001037,27:12.3,2021,1,2,2,1,28,New York,32.99,Foozy Mouse,toy,cat,32.99
10300120,575410882303,1001041,56:49.3,2021,1,3,3,1,51,Pennsylvania,21.95,Chomp-a Plush,toy,dog,21.95
10300121,521244155990,1001042,41:16.1,2021,1,3,3,1,21,South Carolina,54.95,Reddy Beddy,bedding,dog,54.95
10300123,140160459467,1001044,42:24.4,2021,1,3,3,3,42,New York,48.95,Snoozer Essentails,bedding,dog,146.85
10300123,719638485153,1001044,42:24.4,2021,1,3,3,3,42,New York,72.99,Cat Cave,bedding,cat,218.97
10300122,832878954342,1001043,01:30.3,2021,1,3,3,1,25,Michigan,45.99,Snoozer Hammock,bedding,cat,45.99
10300122,73201504044,1001043,01:30.3,2021,1,3,3,1,25,Michigan,18.95,Purrfect Puree,treat,cat,18.95
10300122,845773115334,1001043,01:30.3,2021,1,3,3,2,25,Michigan,12.99,Purr Mix,food,cat,25.98
10300124,374613020864,1001045,05:54.4,2021,1,4,4,1,25,Connecticut,10.97,Chewie Dental,treat,dog,10.97
10300133,969568933713,1001053,50:27.8,2021,1,5,5,1,24,New York,32.99,Foozy Mouse,toy,cat,32.99
10300133,140160459467,1001053,50:27.8,2021,1,5,5,2,24,New York,48.95,Snoozer Essentails,bedding,dog,97.9
10300133,717036112695,1001053,50:27.8,2021,1,5,5,5,24,New York,60.99,Reddy Beddy,bedding,dog,304.95
10300130,140160459467,1001036,31:51.2,2021,1,5,5,2,27,New York,48.95,Snoozer Essentails,bedding,dog,97.9
10300137,845773115334,1001057,32:19.0,2021,1,5,5,1,39,New York,12.99,Purr Mix,food,cat,12.99
10300125,904582148679,1001046,04:54.5,2021,1,5,5,1,31,Pennsylvania,12.97,Whole Chemistry Recipe,food,dog,12.97
10300125,73201504044,1001046,04:54.5,2021,1,5,5,1,31,Pennsylvania,18.95,Purrfect Puree,treat,cat,18.95
10300125,140160459467,1001046,04:54.5,2021,1,5,5,1,31,Pennsylvania,48.95,Snoozer Essentails,bedding,dog,48.95
10300135,441530839394,1001055,16:57.4,2021,1,5,5,2,21,Pennsylvania,28.45,Ball and String,toy,cat,56.9
10300134,575410882303,1001054,43:14.0,2021,1,5,5,1,24,Georgia,21.95,Chomp-a Plush,toy,dog,21.95
10300138,575410882303,1001058,59:16.6,2021,1,5,5,1,36,New York,21.95,Chomp-a Plush,toy,dog,21.95
10300127,242313721729,1001048,01:02.7,2021,1,5,5,1,24,New York,65.99,Reddy Beddy,bedding,dog,65.99
10300126,717036112695,1001047,06:13.9,2021,1,5,5,2,21,Pennsylvania,60.99,Reddy Beddy,bedding,dog,121.98
10300131,719638485153,1001051,20:10.3,2021,1,5,5,1,26,Connecticut,72.99,Cat Cave,bedding,cat,72.99
10300131,733426809698,1001051,20:10.3,2021,1,5,5,2,26,Connecticut,18.95,Yum Fish-Dish,food,cat,37.9
10300128,469757173540,1001049,39:19.4,2021,1,5,5,1,31,Michigan,35.99,Kitty Climber,toy,cat,35.99
10300136,242313721729,1001056,07:40.6,2021,1,5,5,1,28,Pennsylvania,65.99,Reddy Beddy,bedding,dog,65.99
10300132,832878954342,1001052,13:10.7,2021,1,5,5,1,27,New York,45.99,Snoozer Hammock,bedding,cat,45.99
10300129,719638485153,1001050,37:57.7,2021,1,5,5,3,35,New York,72.99,Cat Cave,bedding,cat,218.97
10300156,100469015054,1001075,40:17.9,2021,1,6,6,3,28,Arizona,18.95,Tuna Tasties,treat,cat,56.85
10300149,344538897332,1001068,24:03.1,2021,1,6,6,1,27,Pennsylvania,19.99,Feline Fix Mix,treat,cat,19.99
