Title,Year Released,Rating,Box Office ($M)
The Shawshank Redemption,1994,9.3,58.3
The Godfather,1972,9.2,246.1
The Dark Knight,2008,9.0,1005
Pulp Fiction,1994,8.9,213.9
Schindler's List,1993,8.9,321.3
Fight Club,1999,8.8,100.9
Forrest Gump,1994,8.8,678.2
Inception,2010,8.8,829.9
The Matrix,1999,8.7,463.5
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,871.5
The Silence of the Lambs,1991,8.6,272.7
Gladiator,2000,8.5,457.6
The Green Mile,1999,8.6,286.8
The Godfather: Part II,1974,9.0,48.0
The Lord of the Rings: The Two Towers,2002,8.7,947.1
The Departed,2006,8.5,289.8
The Usual Suspects,1995,8.5,34.4
Saving Private Ryan,1998,8.6,482.3
Se7en,1995,8.6,327.3
The Lord of the Rings: The Return of the King,2003,8.9,1142
The Pianist,2002,8.5,120.1
Titanic,1997,7.8,2208
Avatar,2009,7.8,2798
Inglourious Basterds,2009,8.3,321.5
The Revenant,2015,8.0,533.0
Django Unchained,2012,8.4,425.4
The Social Network,2010,7.7,224.9
Interstellar,2014,8.6,677.5
The Grand Budapest Hotel,2014,8.1,172.9
Dunkirk,2017,7.9,526.9
A Beautiful Mind,2001,8.2,313.5
The Godfather: Part III,1990,7.6,136.8
The Big Lebowski,1998,8.1,46.2
The Shape of Water,2017,7.3,195.2
12 Years a Slave,2013,,187.7
Gravity,2013,7.7,723.2
La La Land,2016,8.0,446.1
Blade Runner 2049,2017,8.0,260.5
The Irishman,2019,7.9,8.7
Parasite,2019,8.6,266.9
The Great Gatsby,2013,7.2,353.6
Jurassic Park,1993,8.1,1076.7
The Incredibles,2004,8.0,633.0
Eternal Sunshine of the Spotless Mind,2004,8.3,74.4
No Country for Old Men,2007,8.1,171.6
The Lion King,1994,8.5,968.5
Finding Nemo,2003,8.1,871.5
The Avengers,2012,8.0,1518.8
The Martian,2015,8.0,630.2
Black Panther,2018,7.3,1346.9
3 Idiots,2009,8.4,81
PK,2014,8.1,100
Dangal,2016,8.4,330
Baahubali: The Beginning,2015,8.1,100
Baahubali 2: The Conclusion,2017,8.2,270
Bajrangi Bhaijaan,2015,8.0,115
Sultan,2016,7.0,90
Kabhi Khushi Kabhie Gham,2001,7.4,25
My Name Is Khan,2010,8.0,42
Chennai Express,2013,6.0,60
Dilwale Dulhania Le Jayenge,1995,8.1,98
Kuch Kuch Hota Hai,1998,7.6,35
Kabhi Alvida Naa Kehna,2006,6.0,27
Padmaavat,2018,7.0,90
Baazigar,1993,7.8,2
Koi Mil Gaya,2003,7.1,10
Krrish,2006,6.3,14
Lagaan,2001,8.1,39
Sholay,1975,8.2,20
Mera Naam Joker,1970,7.7,10
Andhadhun,2018,8.3,48
Gully Boy,2019,8.1,62
Dil Chahta Hai,2001,8.1,13
Dil To Pagal Hai,1997,7.1,11
Om Shanti Om,2007,6.7,23
